000,'??????',1,F,'?','?',                      'Generic Field'
001,'IDUTOT',1,F,'u','-',                      'Total U-velocity (cm/s)'
002,'IDVTOT',1,F,'v','-',                      'Total V-velocity (cm/s)'
003,'IDTVEC',2,F,'u','v',                      'Total Velocity Vectors (cm/s)'
004,'IDTMAG',2,F,'u','v',                      'Total Velocity Magnitude (cm/s)'
005,'IDTSTR',2,F,'u','v',                      'Total Velocity Streamlines'
006,'IDTBRB',2,F,'u','v',                      'Total Velocity Barbs'
007,'IDUCLI',1,F,'u','v',                      'Baroclinic U-velocity (cm/s)'
008,'IDVCLI',1,F,'v','v',                      'Baroclinic V-velocity (cm/s)'
009,'IDCVEC',2,F,'u','v',                      'Baroclinic Velocity Vectors (cm/s)'
010,'IDCMAG',2,F,'u','v',                      'Baroclinic Velocity Magnitude (cm/s)'
011,'IDCSTR',2,F,'u','v',                      'Baroclinic Velocity Streamlines'
012,'IDCBRB',2,F,'u','v',                      'Baroclinic Velocity Barbs'
013,'IDUBAR',1,T,'ubar','-',                   'Barotropic U-velocity (cm/s)'
014,'IDVBAR',1,T,'vbar','-',                   'Barotropic V-velocity (cm/s)'
015,'IDBVEC',2,T,'ubar','vbar',                'Barotropic Velocity Vectors (cm/s)'
016,'IDBMAG',2,T,'ubar','vbar',                'Barotropic Velocity Magnitude (cm/s)'
017,'IDBSTR',2,T,'ubar','vbar',                'Barotropic Velocity Streamlines'
018,'IDBBRB',2,T,'ubar','vbar',                'Barotropic Velocity Barbs'
019,'IDWVEL',1,F,'w','-',                      'Vertical Velocity (cm/day)'
020,'IDOMEG',1,F,'omega','-',                  'Omega Vertical Velocity (cm/day)'
021,'IDZETA',1,T,'zeta','-',                   'Free-Surface (m)'
022,'IDTPSI',1,T,'psi','-',                    'Transport Stream function (Sv)'
023,'IDTEMP',1,F,'temp','-',                   'Potential Temperature (C)'
024,'IDSALT',1,F,'salt','-',                   'Salinity (PSU)'
025,'IDDANO',1,F,'rho','-',                    'Density Anomaly (kg/m3)'
026,'IDCDEN',3,F,'temp','salt',                'Density Anomaly form T,S (kg/m3)'
027,'IDDBAR',1,F,'rhobar','-',                 'Mean Density Anomaly (kg/m3)'
028,'IDSIGT',3,F,'temp','salt',                'Sigma-t (kg/m3)'
029,'IDISOT',4,T,'temp','-',                   'Isothermal Depths (m)'
030,'IDISOH',4,T,'salt','-',                   'Isohaline Depths (m)'
031,'IDISOR',4,T,'rho','-',                    'Isopycnal Depths (m), in situ density'
032,'IDISOD',4,T,'temp','salt',                'Isopycnal Depths (m), sigma-0'
033,'IDISOS',4,T,'temp','salt',                'Isopycnal Depths (m), sigma-theta'
034,'IDDPRS',4,F,'rho','-',                    'Dynamic Pressure (Pa)'
035,'IDDYHT',1,F,'dynht','-',                  'Dynamic Height (dyn m)'
036,'IDBVFQ',4,F,'temp','salt',                'Brunt-Vaisala Frequency (1/s2)'
037,'IDSNDS',3,F,'temp','salt',                'Sound speed (m/s)'
038,'IDHSBL',1,T,'Hsbl','-',                   'Depth of Surface Boundary Layer (m)'
039,'IDHBBL',1,T,'Hbbl','-',                   'Depth of Bottom Boundary Layer (m)'
040,'IDRIGN',4,F,'u','v',                      'Gradient Richardson Number'
041,'IDAKVC',1,F,'AKv','-',                    'Vertical Viscosity (m2/s)'
042,'IDAKTC',1,F,'AKt','-',                    'Vertical T-Diffusion (m2/s)'
043,'IDAKSC',1,F,'AKs','-',                    'Vertical S-Diffusion (m2/s)'
044,'IDUICE',1,T,'uice','-',                   'Ice U-velocity (cm/s)'
045,'IDVICE',1,T,'vice','-',                   'Ice V-velocity (cm/s)'
046,'IDIVEC',2,T,'uice','vice',                'Ice Velocity Vectors (cm/s)'
047,'IDIMAG',2,T,'uice','vice',                'Ice Velocity Magnitude (cm/s)'
048,'IDISTR',2,T,'uice','vice',                'Ice Velocity Streamlines'
049,'IDIBRB',2,T,'uice','vice',                'Ice Velocity Barbs'
050,'IDAICE',1,T,'aice','-',                   'Fraction of Cell Covered by Ice'
051,'IDHICE',1,T,'hice','-',                   'Depth of Ice Cover (m)'
052,'IDIHOA',3,T,'hice','aice'                 'Ice thickness (m)'
053,'IDSNOW',1,T,'hsnow','-',                  'Depth of Snow Cover (m)'
054,'IDSHOA',3,T,'hsnow','aice'                'Snow thickness (m)'
055,'IDTICE',1,T,'tisrf','-',                  'Temperature of Ice Surface (K)'
056,'IDANGL',1,T,'angle','-',                  'Angle between XI-axis and EAST (deg)'
057,'IDDELX',1,T,'pm','-'                      'Grid-spacing in XI-direction (km)'
058,'IDDELX',1,T,'pn','-'                      'Grid-spacing in ETA-direction (km)'
059,'IDBTHR',1,T,'h','-',                      'Bathymetry at RHO-points (m)'
060,'IDBTHP',1,T,'h','-',                      'Bathymetry at PSI-points (m)'
061,'IDMHSL',4,T,'h','-',                      'Bathymetry Slope'
062,'IDMHRF',4,T,'h','-',                      'Bathymetry r-factor'
063,'IDHRAW',1,T,'hraw','-',                   'Raw Bathymetry at RHO-points (m)'
064,'IDRHSL',4,T,'hraw','-',                   'Raw Bathymetry Slope'
065,'IDRHRF',4,T,'hraw','-',                   'Raw Bathymetry r-factor'
066,'IDCORP',1,T,'f','-',                      'Coriolis Parameter (1/s)'
